scenario,part,trial,seed,message,freq_hz,dt_s,reported_snr_db
S5,0,1453,966409391,<...> <RDCTG295>/Z/FL RRR,966,-1.040,-27
S5,0,1455,1396744788,CQ <...>,2188,-0.880,-26
S5,0,1456,67167395,<RDCTG256> <RDCTG177>/R R AC71,1222,3.120,-27
S5,0,1469,1593563829,<RDCTG32> <RDCTG105>/P MF89,1328,3.040,-26
S5,0,1474,787309254,CQ HHDM R53BTE/P R BE03,1678,-1.600,-27
S5,0,1491,755912078,<...> <RDCTG273>/R R DR65,381,-1.440,-27
S5,0,1495,1944096285,CQ AQVN 3B4 JM R JE88,734,-1.600,-28
S5,0,1495,1944096285,R NSCUN1XR1 <...> 73,2013,-1.280,-27
S5,0,1505,1658693267,K84TCR <RDCTG100> Y/P R AI03,2744,3.040,-28
S5,0,1505,1658693267,<...> 377R4B4ISJV RRR,1603,3.120,-27
S5,0,150,2092704402,H61FQR/R J06AZB CP02,1916,-0.960,-28
S5,0,1519,1126486116,<RDCTG174> <RDCTG351> KG48,2269,-0.560,-27
S5,0,1520,1607216236,<<RDCTG292> W> NZDCJ2UDF5N 73,428,-1.280,-28
S5,0,1521,418392717,-V/4CS4MXG-XM,1044,3.040,-26
S5,0,1523,1922870258,0329405D10F18C1014,1544,-1.280,-27
S5,0,1533,257653974,<...> G55K2Y <RDCTG47> RR73,2778,2.160,-26
S5,0,1538,1465300656,CQ 6U0G0189TTE,2884,-0.880,-28
S5,0,1552,1306397346,CQ <...>,1459,2.960,-27
S5,0,1555,1881983472,3XR6IDQ <RDCTG141> JI08,316,0.400,-26
S5,0,1556,479481791,<RDCTG33> BU8 JO/P R DM40,2453,-1.120,-28
S5,0,1564,1237397477,986NIE/R 420GLW/R JO41,2172,-0.640,-28
S5,0,1573,1156530818,<RDCTG284>/P <RDCTG240> HF55,1853,-0.960,-26
S5,0,1580,1292258624,M O/?FH+/OBK+,1456,-0.480,-27
S5,0,1582,1908689271,CQ <...>,2659,2.960,-27
S5,0,1583,911305862,CQ 58PLBISH8FY,2325,2.880,-27
S5,0,158,868384073,CQ <...>,2341,-1.600,-28
S5,0,1610,1990200535,<RDCTG285> <RDCTG178> K QO57,2425,-0.960,-27
S5,0,1621,29636823,1490D21246F7DCD381,1778,1.280,-26
S5,0,1625,1472144525,N47X52FYYTW <...>,1522,-1.280,-26
S5,0,163,90738479,CQ 21FT75YPZB7,2231,3.040,-26
S5,0,163,90738479,772PJM <RDCTG151> BC90,2719,-1.120,-27
