scenario,part,trial,seed,n_decodes
S5,0,1116,1655532683,0
S5,0,1117,1562169743,0
S5,0,1118,1461266733,0
S5,0,1119,756956629,0
S5,0,111,969409508,0
S5,0,1120,1082180963,0
S5,0,1121,855336507,0
S5,0,1122,1696403735,0
S5,0,1123,631501019,0
S5,0,1124,987931417,0
S5,0,1125,1713744162,0
S5,0,1126,2124244306,0
S5,0,1127,84241938,0
S5,0,1128,2064994988,0
S5,0,1129,1071480069,0
S5,0,112,1678625831,0
S5,0,1130,162323790,0
S5,0,1131,249160794,0
S5,0,1132,1524219736,1
S5,0,1133,1247729654,1
S5,0,1134,1376020528,0
S5,0,1135,1271574041,0
S5,0,1136,1977250977,1
S5,0,1137,1644813057,0
S5,0,1138,1428575827,0
S5,0,1139,679453874,0
S5,0,113,2021027787,0
S5,0,1140,69051813,0
S5,0,1141,332657779,0
S5,0,1142,1740076702,1
S5,0,1143,1195102129,0
S5,0,1144,1856592336,0
S5,0,1145,777651922,0
S5,0,1146,1446018643,1
S5,0,1147,13950195,1
S5,0,1148,1266865234,0
S5,0,1149,439718206,0
S5,0,114,1172094332,0
S5,0,1150,1317739974,1
S5,0,1151,473449618,0
S5,0,1152,1622325514,0
S5,0,1153,1728789293,0
S5,0,1154,1859765488,0
S5,0,1155,1285975723,1
S5,0,1156,788378039,0
S5,0,1157,1952370619,0
S5,0,1158,842322502,0
S5,0,1159,1399833767,0
S5,0,115,1070913579,0
S5,0,1160,1020489743,0
S5,0,1161,987185613,0
S5,0,1162,1569662699,0
S5,0,1163,1659266609,0
S5,0,1164,1638548994,0
S5,0,1165,689004561,0
S5,0,1166,1483602352,0
S5,0,1167,443419686,0
S5,0,1168,695342243,1
S5,0,1169,398466591,2
S5,0,116,1332647017,0
S5,0,1170,460421300,0
S5,0,1171,23669135,0
S5,0,1172,1087131600,0
S5,0,1173,412273192,0
S5,0,1174,1112552079,0
S5,0,1175,850622111,0
S5,0,1176,1192396753,0
S5,0,1177,1790356727,0
S5,0,1178,1229435920,0
S5,0,1179,1746407876,0
S5,0,117,35299950,0
S5,0,1180,55969822,0
S5,0,1181,1839888467,0
S5,0,1182,12891089,1
S5,0,1183,1908750695,0
S5,0,1184,1089439176,0
S5,0,1185,1685224653,1
S5,0,1186,520812205,0
S5,0,1187,554093454,0
S5,0,1188,97557464,0
S5,0,1189,577100484,0
S5,0,118,513813620,0
S5,0,1190,2065856888,0
S5,0,1191,1796159874,0
S5,0,1192,1646954078,0
S5,0,1193,1336404058,0
S5,0,1194,330609774,0
S5,0,1195,1506963889,0
S5,0,1196,184281537,0
S5,0,1197,1015654465,1
S5,0,1198,1843952349,0
S5,0,1199,18520307,0
S5,0,119,1788655556,0
S5,0,1200,62625855,0
S5,0,1201,1911725665,0
S5,0,1202,2145914486,0
S5,0,1203,614277074,0
S5,0,1204,248050574,0
S5,0,1205,808099856,0
S5,0,1206,1712659138,0
S5,0,1207,1646087432,0
