scenario,part,trial,seed,message,freq_hz,dt_s,reported_snr_db,signal_db,local_noise_db,reconstructed_snr_db
S5,0,2,892021093,<...> 57OFC6KE94R RR73,900,3.12,-27,-56.669,-56.5,-26.669
S5,0,2,892021093,<...> <RDCT42> DP87,2819,-1.28,-27,-56.535,-56.5,-26.535
S5,0,5,434100809,O39 VB <RDCT48>/P R QL84,716,-0.88,-26,-55.774,-56.5,-25.774
S5,0,10,1672796167,<...> ETWUUZEI/C5 73,2506,2.8,-26,-56.474,-56.5,-26.474
S5,0,21,490683040,FMTV  KXZY9 <...>,1256,2,-25,-56.43,-57.5,-25.43
S5,1,20,783127692,<RDCT47>/R <RDCT37>/R MR64,1428,-1.12,-28,-58.701,-57.5,-27.701
S5,1,20,783127692,CQ KGZ 229NQX/P R JM77,619,-1.6,-27,-57.978,-57,-27.478
S5,1,27,336917293,<RDCT36>/P <RDCT72> B EN77,2231,-0.96,-27,-57.11,-57,-26.61
