scenario,part,trial,seed,n_decodes
S1,9,10,835557228,1
S1,9,11,1111027574,1
S1,9,12,1674977039,2
S1,9,13,1739762056,1
S1,9,14,1692609210,3
S1,9,15,333294380,3
S1,9,16,1717240052,1
S1,9,17,1662315394,1
S1,9,18,1415759274,1
S1,9,19,1763852194,3
S1,9,20,1575181602,2
S1,9,21,663147754,1
S1,9,22,773236358,2
S1,9,23,1950427885,3
S1,9,24,1431562006,2
