scenario,part,trial,seed,message,freq_hz,dt_s,reported_snr_db,signal_db,local_noise_db,reconstructed_snr_db
S1,2,4,300973681,CQ Q1ABC FN42,1500,0.32,-5,-35.576,-57,-5.076
S1,2,5,1324112953,CQ Q1ABC FN42,1500,0.32,-5,-35.399,-57,-4.899
S1,2,6,586047112,CQ Q1ABC FN42,1500,0.32,-4,-35.494,-57.5,-4.494
S1,2,6,586047112,D56KMS <RDCT11>/R R QF39,691,2.96,-27,-57.367,-57,-26.867
S1,2,7,505401989,CQ Q1ABC FN42,1500,0.32,-5,-35.873,-57.5,-4.873
S1,2,8,621469517,CQ Q1ABC FN42,1500,0.32,-5,-35.12,-56.5,-5.12
S1,2,9,1251077189,CQ Q1ABC FN42,1500,0.32,-5,-34.816,-56.5,-4.816
S1,2,10,1708909716,CQ Q1ABC FN42,1500,0.32,-5,-35.171,-57,-4.671
S1,2,10,1708909716,<RDCT53> V/R <RDCT33> AK94,450,0.88,-27,-57.013,-57,-26.513
S1,2,11,2015126675,CQ Q1ABC FN42,1500,0.32,-5,-34.816,-56.5,-4.816
S1,2,12,1695180231,CQ Q1ABC FN42,1500,0.32,-5,-35.082,-56.5,-5.082
S1,2,13,1537761778,CQ Q1ABC FN42,1500,0.32,-5,-35.734,-57.5,-4.734
S1,2,14,927811775,CQ Q1ABC FN42,1500,0.32,-5,-35.089,-57,-4.589
S1,2,15,625546902,CQ Q1ABC FN42,1500,0.4,-5,-35.31,-57,-4.81
S1,2,16,1238972250,CQ Q1ABC FN42,1500,0.32,-5,-35.063,-56.5,-5.063
S1,2,17,939036041,CQ Q1ABC FN42,1500,0.32,-5,-35.032,-56.5,-5.032
S1,2,18,1180094015,CQ Q1ABC FN42,1500,0.4,-5,-35.361,-57,-4.861
S1,2,19,743336773,CQ Q1ABC FN42,1500,0.4,-5,-35.234,-56.5,-5.234
S1,2,20,1008155982,CQ Q1ABC FN42,1500,0.32,-5,-36.203,-58,-4.703
S1,2,20,1008155982,CQ LGDEIHAZXM4,1500,2.56,-19,-50.364,-58,-18.864
