scenario,part,trial,seed,message,freq_hz,dt_s,reported_snr_db,signal_db,local_noise_db,reconstructed_snr_db
S1,0,54,1076363659,CQ Q1ABC FN42,1500,0.4,-11,-41.222,-56.5,-11.222
S1,0,54,1076363659,V10KFCJ1LHN1,950,-1.44,-27,-57.036,-56.5,-27.036
S1,0,55,193353639,CQ Q1ABC FN42,1500,0.32,-11,-41.215,-56.5,-11.215
S1,0,56,619576089,CQ Q1ABC FN42,1500,0.4,-11,-40.741,-56,-11.241
S1,0,57,640061166,CQ Q1ABC FN42,1500,0.4,-11,-41.589,-57,-11.089
S1,0,58,824057817,CQ Q1ABC FN42,1500,0.4,-11,-41.101,-56.5,-11.101
S1,0,59,1006783494,CQ Q1ABC FN42,1500,0.32,-11,-41.627,-57,-11.127
S1,0,60,1817455995,CQ Q1ABC FN42,1500,0.4,-11,-40.987,-56.5,-10.987
S1,0,61,1405579272,CQ Q1ABC FN42,1500,0.32,-11,-41.272,-56.5,-11.272
S1,0,62,1472843123,CQ Q1ABC FN42,1500,0.4,-11,-42.184,-57.5,-11.184
S1,0,63,532457901,CQ Q1ABC FN42,1500,0.32,-11,-41.519,-57,-11.019
S1,0,63,532457901,<RDCTM510>/P <RDCTM229> R RR73,1025,-0.56,-26,-55.807,-56.5,-25.807
S1,0,64,83290023,CQ Q1ABC FN42,1500,0.32,-11,-40.962,-56,-11.462
S1,0,65,110016722,CQ Q1ABC FN42,1500,0.32,-11,-41.867,-57.5,-10.867
S1,0,66,1340433974,CQ Q1ABC FN42,1500,0.4,-11,-41.101,-56.5,-11.101
S1,0,67,550812265,CQ Q1ABC FN42,1500,0.4,-11,-41.31,-56.5,-11.31
S1,0,68,1159356136,CQ Q1ABC FN42,1500,0.32,-11,-41.816,-57.5,-10.816
S1,0,69,759323696,CQ Q1ABC FN42,1500,0.4,-11,-41.747,-57,-11.247
S1,0,70,1762002432,CQ Q1ABC FN42,1500,0.32,-11,-41.095,-56.5,-11.095
S1,0,71,1124264222,CQ Q1ABC FN42,1500,0.4,-11,-41.196,-57,-10.696
S1,0,72,1630129747,CQ Q1ABC FN42,1500,0.4,-11,-41.373,-56.5,-11.373
S1,0,73,1428691889,CQ Q1ABC FN42,1500,0.32,-11,-40.709,-56.5,-10.709
S1,0,74,1175097694,CQ Q1ABC FN42,1500,0.4,-11,-41.127,-56.5,-11.127
S1,0,75,2138671959,CQ Q1ABC FN42,1500,0.32,-11,-40.848,-56.5,-10.848
S1,0,75,2138671959,3XS0TOH/R K76FNM HR38,2247,0.24,-26,-55.538,-56.5,-25.538
S1,0,76,1018044709,CQ Q1ABC FN42,1500,0.32,-11,-41.089,-56.5,-11.089
S1,0,77,762163525,CQ Q1ABC FN42,1500,0.32,-11,-41.93,-57,-11.43
S1,0,78,964905215,CQ Q1ABC FN42,1500,0.4,-11,-41.791,-57,-11.291
S1,0,79,1628523519,CQ Q1ABC FN42,1500,0.32,-11,-40.5,-56,-11
S1,0,79,1628523519,4DC313B691E04CF7A4,2506,2,-26,-55.658,-56,-26.158
S1,0,79,1628523519,K47FGI/P <RDCTM630> LH46,1106,3.12,-26,-55.905,-56,-26.405
S1,0,80,221424067,CQ Q1ABC FN42,1500,0.4,-11,-41.563,-57,-11.063
S1,0,81,385286975,CQ Q1ABC FN42,1500,0.4,-11,-42.19,-57.5,-11.19
S1,0,82,536788125,CQ Q1ABC FN42,1500,0.32,-11,-41.589,-57,-11.089
S1,0,83,725129935,CQ Q1ABC FN42,1500,0.32,-11,-41.019,-56.5,-11.019
S1,0,84,1949501660,CQ Q1ABC FN42,1500,0.32,-11,-41.405,-57,-10.905
S1,0,85,919177160,CQ Q1ABC FN42,1500,0.32,-11,-41.639,-57,-11.139
S1,0,86,325830710,CQ Q1ABC FN42,1500,0.32,-11,-41.12,-56.5,-11.12
S1,0,87,534253272,CQ Q1ABC FN42,1500,0.32,-11,-40.513,-56,-11.013
S1,0,88,963749515,CQ Q1ABC FN42,1500,0.4,-11,-41.241,-57,-10.741
S1,0,89,1407369909,CQ Q1ABC FN42,1500,0.32,-11,-41.209,-56.5,-11.209
S1,0,90,1447940025,CQ Q1ABC FN42,1500,0.4,-11,-41.652,-57,-11.152
S1,0,91,460807789,CQ Q1ABC FN42,1500,0.32,-11,-41.342,-56.5,-11.342
S1,0,92,1091749316,CQ Q1ABC FN42,1500,0.32,-11,-40.975,-56.5,-10.975
S1,0,93,1347937972,CQ Q1ABC FN42,1500,0.4,-11,-40.918,-56.5,-10.918
S1,0,94,1028141377,CQ Q1ABC FN42,1500,0.4,-11,-41.196,-56.5,-11.196
S1,0,95,282018213,CQ Q1ABC FN42,1500,0.4,-11,-41.633,-57,-11.133
S1,0,96,212956568,CQ Q1ABC FN42,1500,0.32,-11,-41.772,-57,-11.272
S1,0,97,2053772380,CQ Q1ABC FN42,1500,0.32,-11,-41.165,-56.5,-11.165
S1,0,98,443260930,CQ Q1ABC FN42,1500,0.32,-11,-41.576,-57,-11.076
S1,0,98,443260930,<RDCTM481>/FNWWGO3 <...>,691,-1.2,-28,-58.197,-57,-27.697
S1,0,99,183873801,CQ Q1ABC FN42,1500,0.32,-11,-41.677,-57,-11.177
S1,0,99,183873801,<...> 3XD7ZDU/R R AK24,922,-1.44,-26,-56.971,-57,-26.471
S1,0,100,152334718,CQ Q1ABC FN42,1500,0.4,-11,-41.582,-57,-11.082
S1,0,100,152334718,CQ FWLSSM9FB/A,1497,0.4,-21,-51.019,-57,-20.519
S1,0,101,1074367208,CQ Q1ABC FN42,1500,0.4,-11,-41.816,-57,-11.316
S1,0,101,1074367208,<RDCTM549>/P <...> R PK20,1744,2.96,-26,-56.687,-57,-26.187
S1,0,102,1779800572,CQ Q1ABC FN42,1500,0.4,-11,-41.177,-56.5,-11.177
S1,0,103,525670459,CQ Q1ABC FN42,1500,0.32,-11,-41.316,-56.5,-11.316
S1,0,104,599590830,CQ Q1ABC FN42,1500,0.32,-11,-41.101,-56.5,-11.101
S1,0,104,599590830,<...> 38O9ZN7L/0M RRR,494,2.96,-26,-56.147,-56.5,-26.147
S1,0,105,1372614925,CQ Q1ABC FN42,1500,0.32,-11,-41.266,-56.5,-11.266
S1,0,106,775437961,CQ Q1ABC FN42,1500,0.32,-11,-41.538,-57,-11.038
S1,0,107,1600607688,CQ Q1ABC FN42,1500,0.4,-11,-41.797,-57,-11.297
S1,0,108,1549687782,CQ Q1ABC FN42,1500,0.4,-11,-41.475,-56.5,-11.475
S1,0,109,514277680,CQ Q1ABC FN42,1500,0.4,-11,-41.481,-56.5,-11.481
S1,0,110,1981235816,CQ Q1ABC FN42,1500,0.4,-11,-41.272,-57,-10.772
S1,0,111,1158389468,CQ Q1ABC FN42,1500,0.32,-11,-41.481,-57,-10.981
S1,0,112,2133089394,CQ Q1ABC FN42,1500,0.4,-11,-40.557,-56,-11.057
S1,0,112,2133089394,8H +BB/TCTT8B,1497,0.4,-20,-49.829,-56,-20.329
S1,0,113,529910964,CQ Q1ABC FN42,1500,0.4,-11,-40.835,-56,-11.335
S1,0,113,529910964,<RDCTM381> <RDCTM448> R AC08,1719,-1.04,-27,-56.167,-56,-26.667
S1,0,114,1438746415,CQ Q1ABC FN42,1500,0.4,-11,-40.924,-56.5,-10.924
S1,0,115,30472105,CQ Q1ABC FN42,1500,0.4,-11,-41.348,-56.5,-11.348
S1,0,115,30472105,<RDCTM660> <RDCTM615> PL75,2006,-1.04,-27,-57.493,-56.5,-27.493
S1,0,116,1430362188,CQ Q1ABC FN42,1500,0.32,-11,-41.367,-56.5,-11.367
S1,0,117,359342888,CQ Q1ABC FN42,1500,0.32,-11,-41.38,-57,-10.88
S1,0,117,359342888,<...> 2648HKJOI7Q 73,2688,-0.8,-26,-56.905,-57,-26.405
S1,0,118,1534535132,CQ Q1ABC FN42,1500,0.4,-11,-40.943,-56.5,-10.943
S1,0,119,858841052,CQ Q1ABC FN42,1500,0.4,-11,-41.291,-57,-10.791
S1,0,120,97513169,CQ Q1ABC FN42,1500,0.4,-11,-41.69,-57,-11.19
S1,0,121,875381381,CQ Q1ABC FN42,1500,0.4,-11,-41.013,-56.5,-11.013
S1,0,122,1945006976,CQ Q1ABC FN42,1500,0.32,-11,-41.677,-57,-11.177
S1,0,123,498519119,CQ Q1ABC FN42,1500,0.4,-11,-41.215,-56.5,-11.215
S1,0,123,498519119,<RDCTM591>/<RDCTM208> <...>,1503,0.4,-23,-52.873,-56.5,-22.873
S1,0,123,498519119,CQ <...>,1700,-0.24,-26,-55.89,-56.5,-25.89
S1,0,124,247129137,CQ Q1ABC FN42,1500,0.32,-11,-41.063,-56.5,-11.063
S1,0,125,264542190,CQ Q1ABC FN42,1500,0.32,-12,-41.5,-56.5,-11.5
S1,0,126,1416047294,CQ Q1ABC FN42,1500,0.4,-11,-40.57,-56,-11.07
S1,0,127,852253618,CQ Q1ABC FN42,1500,0.32,-11,-41.241,-56.5,-11.241
S1,0,127,852253618,25NWC N01DOC/R R RC41,653,-0.4,-26,-56.289,-56.5,-26.289
S1,0,127,852253618,CQ FSKV 42S02C,703,3.04,-26,-55.993,-56.5,-25.993
S1,0,128,1206455489,CQ Q1ABC FN42,1500,0.4,-11,-41.943,-57,-11.443
S1,0,129,102432452,CQ Q1ABC FN42,1500,0.32,-11,-41.722,-57.5,-10.722
S1,0,130,1332043330,CQ Q1ABC FN42,1500,0.32,-11,-40.772,-56,-11.272
S1,0,131,1422154076,CQ Q1ABC FN42,1500,0.32,-11,-41.057,-56.5,-11.057
S1,0,132,367670679,CQ Q1ABC FN42,1500,0.32,-11,-40.766,-56.5,-10.766
