scenario,part,trial,seed,message,freq_hz,dt_s,reported_snr_db,signal_db,local_noise_db,reconstructed_snr_db
S5,0,1301,1541674903,CQ XVTF L22OTQ/R NJ78,906,-1.6,-27,-57.232,-56.5,-27.232
S5,0,131,40753756,12OJU7IY+-4-.,1869,-1.36,-26,-57.479,-57.5,-26.479
S5,0,132,1436126592,0Z3 Z A18VLV R QB91,2678,1.04,-27,-57.361,-56.5,-27.361
S5,0,1333,1069137736,162JDE M59KJO/R R BO61,1856,2.64,-26,-56.403,-56.5,-26.403
S5,0,1341,2038506127,V52QOL DI5 CU EN32,2816,-0.32,-27,-57.571,-57.5,-26.571
S5,0,1342,1267066210,<RDCTR96> <RDCTR163>/R R OP13,1047,3.04,-25,-54.878,-56.5,-24.878
S5,0,1358,281289836,CCP3DNZH23Y2X,1578,2.88,-26,-55.46,-56,-25.96
S5,0,1358,281289836,<RDCTR109> 245 WW AC45,1125,-1.12,-27,-56.507,-56,-27.007
S5,0,1364,238759830,<RDCTR233>/R <RDCTR75> R CP44,2019,0.56,-26,-56.146,-56.5,-26.146
S5,0,1377,525036067,<RDCTR352>/R X45PKU KC09,2169,-1.2,-26,-55.915,-56,-26.415
S5,0,1385,379239844,<RDCTR179> <RDCTR130> R NG58,1641,2,-26,-56.443,-56.5,-26.443
S5,0,1398,1467871913,CQ GD3GX0P2/6J,2469,-1.44,-27,-56.514,-56.5,-26.514
S5,0,1404,382271274,<RDCTR185> <RDCTR133>/R R FH68,866,-1.04,-26,-57.215,-57.5,-26.215
S5,0,1410,440229305,<...> 090R0XPCTPJ 73,1406,-1.52,-27,-57.761,-57.5,-26.761
S5,0,1416,175550356,<RDCTR11>/P <RDCTR140> R HN61,1613,-1.52,-27,-57.203,-57,-26.703
S5,0,1423,1507528521,NV0 KL S88GUE/R R JC74,2581,0.24,-26,-56.551,-57.5,-25.551
S5,0,1429,1711654820,<RDCTR309> G89HND MH44,706,-0.24,-26,-56.545,-57,-26.045
S5,0,143,604425247,<RDCTR292> W H63PYF R QN33,1016,-0.72,-27,-57.081,-56.5,-27.081
S5,0,1446,51877034,<RDCTR234>/P 20BVW JN46,697,-0.96,-26,-55.76,-56,-26.26
S5,0,1450,956029212,46EA77C977C1193C1F,1903,2.88,-27,-57.053,-56.5,-27.053
S5,0,1451,1764916114,<RDCTR229>/P <RDCTR199> QP66,2469,0,-27,-56.595,-56.5,-26.595
S5,0,1453,966409391,<...> <RDCTR295>/Z/FL RRR,966,-1.04,-26,-56.09,-56.5,-26.09
S5,0,1455,1396744788,CQ <...>,2188,-0.88,-26,-56.479,-57,-25.979
S5,0,1456,67167395,<RDCTR256> <RDCTR177>/R R AC71,1222,3.12,-27,-57.277,-57,-26.777
S5,0,1469,1593563829,<RDCTR32> <RDCTR105>/P MF89,1328,3.04,-26,-56.642,-57.5,-25.642
S5,0,1474,787309254,CQ HHDM R53BTE/P R BE03,1678,-1.6,-27,-56.667,-56.5,-26.667
S5,0,1491,755912078,<...> <RDCTR273>/R R DR65,381,-1.44,-26,-56.829,-57,-26.329
S5,0,1495,1944096285,CQ AQVN 3B4 JM R JE88,734,-1.6,-26,-56.935,-57,-26.435
S5,0,1495,1944096285,R NSCUN1XR1 <...> 73,2013,-1.28,-26,-56.669,-57,-26.169
S5,0,1505,1658693267,K84TCR <RDCTR100> Y/P R AI03,2744,3.04,-28,-57.723,-56.5,-27.723
S5,0,1505,1658693267,<...> 377R4B4ISJV RRR,1603,3.12,-27,-56.912,-56.5,-26.912
S5,0,150,2092704402,H61FQR/R J06AZB CP02,1916,-0.96,-28,-57.034,-56,-27.534
S5,0,1519,1126486116,<RDCTR174> <RDCTR351> KG48,2269,-0.56,-27,-56.32,-56,-26.82
S5,0,1520,1607216236,<<RDCTR292> W> NZDCJ2UDF5N 73,428,-1.28,-27,-57.035,-56.5,-27.035
S5,0,1521,418392717,-V/4CS4MXG-XM,1044,3.04,-26,-56.385,-56.5,-26.385
S5,0,1523,1922870258,0329405D10F18C1014,1544,-1.28,-28,-57.514,-56,-28.014
S5,0,1533,257653974,<...> G55K2Y <RDCTR47> RR73,2778,2.16,-26,-56.405,-57,-25.905
S5,0,1538,1465300656,CQ 6U0G0189TTE,2884,-0.88,-26,-56.164,-56.5,-26.164
S5,0,1552,1306397346,CQ <...>,1459,2.96,-27,-56.82,-56.5,-26.82
S5,0,1555,1881983472,3XR6IDQ <RDCTR141> JI08,316,0.4,-26,-56.614,-57,-26.114
S5,0,1556,479481791,<RDCTR33> BU8 JO/P R DM40,2453,-1.12,-27,-56.646,-56.5,-26.646
S5,0,1564,1237397477,986NIE/R 420GLW/R JO41,2172,-0.64,-26,-56.44,-56.5,-26.44
S5,0,1573,1156530818,<RDCTR284>/P <RDCTR240> HF55,1853,-0.96,-26,-56.774,-57,-26.274
