scenario_id,part_index,trial_index,seed,appraiser,message_text,true_snr_db,true_dt_s,true_freq_hz,reported_snr_db,reported_dt_s,reported_freq_hz,matched,false_positive,cycle_utc
S1,0,0,913544046,WSJT-X,CQ Q1ABC FN42,-24,0.2,1500,,,,False,False,2026-06-06T12:23:30Z
S1,0,1,68344610,WSJT-X,CQ Q1ABC FN42,-24,0.2,1500,,,,False,False,2026-06-06T12:23:45Z
S1,0,2,205210819,WSJT-X,CQ Q1ABC FN42,-24,0.2,1500,,,,False,False,2026-06-06T12:24:00Z
S1,1,0,1915168523,WSJT-X,CQ Q1ABC FN42,-21,0.2,1500,,,,False,False,2026-06-06T12:24:15Z
S1,1,1,1105300121,WSJT-X,CQ Q1ABC FN42,-21,0.2,1500,,,,False,False,2026-06-06T12:24:30Z
S1,1,2,1345625016,WSJT-X,CQ Q1ABC FN42,-21,0.2,1500,,,,False,False,2026-06-06T12:25:00Z
S1,2,0,1491760006,WSJT-X,CQ Q1ABC FN42,-18,0.2,1500,,,,False,False,2026-06-06T12:25:15Z
S1,2,1,546635023,WSJT-X,CQ Q1ABC FN42,-18,0.2,1500,,,,False,False,2026-06-06T12:25:30Z
S1,2,2,714902369,WSJT-X,CQ Q1ABC FN42,-18,0.2,1500,,,,False,False,2026-06-06T12:25:45Z
S1,3,0,474144144,WSJT-X,CQ Q1ABC FN42,-15,0.2,1500,,,,False,False,2026-06-06T12:26:00Z
S1,3,1,1226819330,WSJT-X,CQ Q1ABC FN42,-15,0.2,1500,,,,False,False,2026-06-06T12:26:30Z
S1,3,2,1182452760,WSJT-X,CQ Q1ABC FN42,-15,0.2,1500,,,,False,False,2026-06-06T12:26:45Z
S1,4,0,184630235,WSJT-X,CQ Q1ABC FN42,-12,0.2,1500,,,,False,False,2026-06-06T12:27:00Z
S1,4,1,792672454,WSJT-X,CQ Q1ABC FN42,-12,0.2,1500,,,,False,False,2026-06-06T12:27:15Z
S1,4,2,2116022063,WSJT-X,CQ Q1ABC FN42,-12,0.2,1500,,,,False,False,2026-06-06T12:27:30Z
S1,5,0,528655056,WSJT-X,CQ Q1ABC FN42,-9,0.2,1500,,,,False,False,2026-06-06T12:28:00Z
S1,5,1,108725431,WSJT-X,CQ Q1ABC FN42,-9,0.2,1500,,,,False,False,2026-06-06T12:28:15Z
S1,5,2,2006277236,WSJT-X,CQ Q1ABC FN42,-9,0.2,1500,,,,False,False,2026-06-06T12:28:30Z
S1,6,0,147152921,WSJT-X,CQ Q1ABC FN42,-6,0.2,1500,,,,False,False,2026-06-06T12:28:45Z
S1,6,1,1953053430,WSJT-X,CQ Q1ABC FN42,-6,0.2,1500,,,,False,False,2026-06-06T12:29:00Z
