wav,observations,wsjt_decoded_total,owsfz_decoded_total,both_decoded,neither_decoded
260528_235745.wav,63,59,33,30,1
260528_235800.wav,66,61,50,48,3
260528_235815.wav,72,69,41,41,3
260528_235830.wav,78,75,46,44,1
260528_235845.wav,60,55,48,45,2
260528_235900.wav,75,64,46,45,10
260528_235915.wav,75,73,48,47,1
260528_235930.wav,75,71,51,48,1
260528_235945.wav,66,66,49,49,0
260529_000000.wav,51,50,35,35,1
260529_000015.wav,48,45,39,38,2
260529_000030.wav,57,55,40,40,2
260529_000045.wav,48,45,32,32,3
260529_000100.wav,66,66,57,57,0
260529_000115.wav,57,55,40,40,2
260529_000130.wav,69,65,50,50,4
260529_000145.wav,51,43,30,30,8
260529_000200.wav,69,64,48,45,2
260529_000215.wav,54,54,25,25,0
260529_000230.wav,57,50,42,39,4
260529_000245.wav,66,64,45,45,2
260529_000300.wav,60,56,40,37,1
260529_000315.wav,75,75,52,52,0
260529_000330.wav,48,47,39,39,1
260529_000345.wav,72,68,42,42,4
260529_000400.wav,69,63,40,37,3
260529_000415.wav,69,64,40,37,2
260529_000430.wav,78,70,46,40,2
260529_000445.wav,72,64,51,46,3
260529_000500.wav,66,59,51,45,1
260529_000515.wav,72,65,57,52,2
260529_000530.wav,72,68,48,45,1
260529_000545.wav,69,67,53,53,2
260529_000600.wav,60,57,48,45,0
260529_000615.wav,69,62,48,45,4
260529_000630.wav,75,67,50,47,5
260529_000645.wav,75,69,52,50,4
260529_000700.wav,78,75,56,53,0
260529_000715.wav,75,71,46,44,2
260529_000730.wav,63,60,48,45,0
260529_000745.wav,75,71,53,53,4
260529_000800.wav,84,79,54,51,2
