cycle_stem,epoch,utc,lag_s,lag_subsample_s,peak_corr,label_offset_s
260803_173645,0,2026-08-03T17:36:45Z,,,,+0.00000
260803_173700,0,2026-08-03T17:37:00Z,,,,+0.00000
260803_173715,0,2026-08-03T17:37:15Z,,,,+0.00000
260803_173730,0,2026-08-03T17:37:30Z,,,,+0.00000
260803_173745,0,2026-08-03T17:37:45Z,,,,+0.00000
260803_173800,0,2026-08-03T17:38:00Z,,,,+0.00000
260803_173815,0,2026-08-03T17:38:15Z,-0.00633,-0.00633,0.9719,+0.00000
260803_173830,0,2026-08-03T17:38:30Z,,,,+0.00000
260803_173845,0,2026-08-03T17:38:45Z,,,,+0.00000
260803_173900,0,2026-08-03T17:39:00Z,,,,+0.00000
260803_173915,0,2026-08-03T17:39:15Z,,,,+0.00000
260803_173930,0,2026-08-03T17:39:30Z,,,,+0.00000
260803_173945,0,2026-08-03T17:39:45Z,,,,+0.00000
260803_174000,0,2026-08-03T17:40:00Z,,,,+0.00000
260803_174015,0,2026-08-03T17:40:15Z,,,,+0.00000
260803_174030,0,2026-08-03T17:40:30Z,,,,+0.00000
260803_174045,0,2026-08-03T17:40:45Z,+0.00050,+0.00050,0.9830,+0.00000
260803_174100,0,2026-08-03T17:41:00Z,,,,+0.00000
260803_174115,0,2026-08-03T17:41:15Z,,,,+0.00000
260803_174130,0,2026-08-03T17:41:30Z,,,,+0.00000
260803_174145,0,2026-08-03T17:41:45Z,,,,+0.00000
260803_174200,0,2026-08-03T17:42:00Z,,,,+0.00000
260803_174215,0,2026-08-03T17:42:15Z,,,,+0.00000
260803_174230,0,2026-08-03T17:42:30Z,,,,+0.00000
260803_174245,0,2026-08-03T17:42:45Z,,,,+0.00000
260803_174300,0,2026-08-03T17:43:00Z,,,,+0.00000
260803_174315,0,2026-08-03T17:43:15Z,-0.03308,-0.03308,0.9590,+0.00000
260803_174330,0,2026-08-03T17:43:30Z,,,,+0.00000
260803_174345,0,2026-08-03T17:43:45Z,,,,+0.00000
260803_174400,0,2026-08-03T17:44:00Z,,,,+0.00000
260803_174415,0,2026-08-03T17:44:15Z,,,,+0.00000
260803_174430,0,2026-08-03T17:44:30Z,,,,+0.00000
260803_174445,0,2026-08-03T17:44:45Z,,,,+0.00000
260803_174500,0,2026-08-03T17:45:00Z,,,,+0.00000
260803_174515,0,2026-08-03T17:45:15Z,,,,+0.00000
260803_174530,0,2026-08-03T17:45:30Z,,,,+0.00000
260803_174545,0,2026-08-03T17:45:45Z,-0.02175,-0.02174,0.9776,+0.00000
260803_174600,0,2026-08-03T17:46:00Z,,,,+0.00000
260803_174615,0,2026-08-03T17:46:15Z,,,,+0.00000
260803_174630,0,2026-08-03T17:46:30Z,,,,+0.00000
260803_174645,0,2026-08-03T17:46:45Z,,,,+0.00000
260803_174700,0,2026-08-03T17:47:00Z,,,,+0.00000
260803_174715,0,2026-08-03T17:47:15Z,,,,+0.00000
260803_174730,0,2026-08-03T17:47:30Z,,,,+0.00000
260803_174745,0,2026-08-03T17:47:45Z,,,,+0.00000
260803_174800,0,2026-08-03T17:48:00Z,,,,+0.00000
260803_174815,0,2026-08-03T17:48:15Z,-0.00883,-0.00883,0.9902,+0.00000
260803_174830,0,2026-08-03T17:48:30Z,,,,+0.00000
260803_174845,0,2026-08-03T17:48:45Z,,,,+0.00000
260803_174900,0,2026-08-03T17:49:00Z,,,,+0.00000
260803_174915,0,2026-08-03T17:49:15Z,,,,+0.00000
260803_174930,0,2026-08-03T17:49:30Z,,,,+0.00000
260803_174945,0,2026-08-03T17:49:45Z,,,,+0.00000
260803_175000,0,2026-08-03T17:50:00Z,,,,+0.00000
260803_175015,0,2026-08-03T17:50:15Z,,,,+0.00000
260803_175030,0,2026-08-03T17:50:30Z,,,,+0.00000
260803_175045,0,2026-08-03T17:50:45Z,-0.00650,-0.00650,0.9949,+0.00000
260803_175100,0,2026-08-03T17:51:00Z,,,,+0.00000
260803_175115,0,2026-08-03T17:51:15Z,,,,+0.00000
260803_175130,0,2026-08-03T17:51:30Z,,,,+0.00000
260803_175145,0,2026-08-03T17:51:45Z,,,,+0.00000
260803_175200,0,2026-08-03T17:52:00Z,,,,+0.00000
260803_175215,0,2026-08-03T17:52:15Z,,,,+0.00000
260803_175230,0,2026-08-03T17:52:30Z,,,,+0.00000
260803_175245,0,2026-08-03T17:52:45Z,,,,+0.00000
