stem,stratum,lag_seconds,peak_corr
260730_073530,collapsed,-2.52233,0.9805
260730_074000,collapsed,-2.52233,0.9797
260730_074430,collapsed,-2.52233,0.9827
260730_074900,collapsed,-2.56233,0.9865
260730_075330,collapsed,-2.56233,0.9873
260730_075745,collapsed,-2.56233,0.9950
260730_080230,collapsed,-2.59233,0.9837
260730_080700,collapsed,-2.59233,0.9900
260730_081130,collapsed,-2.63233,0.9828
260730_081600,collapsed,-2.63233,0.9871
260730_082015,collapsed,-2.63233,0.9932
260730_082445,collapsed,-2.63233,0.9894
260730_082915,collapsed,-2.67233,0.9878
260730_083345,collapsed,-2.67233,0.9751
260730_083815,collapsed,-2.67233,0.9877
260730_084230,collapsed,-2.71233,0.9840
260730_084700,collapsed,-2.71233,0.9769
260730_085130,collapsed,-2.71233,0.9765
260730_085615,collapsed,-2.73233,0.9823
260730_090045,collapsed,-2.77233,0.9862
260730_090500,collapsed,-2.77233,0.9812
260730_090930,collapsed,-2.77233,0.9881
260730_091430,collapsed,-2.80233,0.9806
260730_091900,collapsed,-2.80233,0.9769
260730_092330,collapsed,-2.84233,0.9947
260730_092745,collapsed,-2.84233,0.9875
260730_093215,collapsed,-2.84233,0.9832
260730_093645,collapsed,-2.88233,0.9809
260730_094115,collapsed,-2.88233,0.9873
260730_094545,collapsed,-2.88233,0.9840
260730_095015,collapsed,-2.92233,0.9846
260730_095430,collapsed,-2.92233,0.9883
260730_095900,collapsed,-2.92233,0.9978
260730_100330,collapsed,-2.96233,0.9792
260730_100800,collapsed,-2.96233,0.9773
260730_101230,collapsed,-2.96233,0.9821
260730_101645,collapsed,-3.00233,0.9923
260730_102115,collapsed,-3.00233,0.9802
260730_102545,collapsed,-3.00233,0.9916
260730_103015,collapsed,-3.00233,0.9587
260730_103445,collapsed,-3.04233,0.9940
260730_103900,collapsed,-3.04233,0.9844
260730_104330,collapsed,-3.04233,0.9938
260730_104800,collapsed,-3.08233,0.9965
260730_105230,collapsed,-3.08233,0.9971
260730_105700,collapsed,-3.08233,0.9887
260730_110115,collapsed,-3.12233,0.9973
260730_110545,collapsed,-3.12233,0.9732
260730_111015,collapsed,-3.12233,0.9637
260730_111445,collapsed,-3.16233,0.9903
260730_111915,collapsed,-3.16233,0.9432
260730_112330,collapsed,-3.16233,0.9860
260730_112800,collapsed,-3.20233,0.9968
260730_113230,collapsed,-3.20233,0.9907
260730_113700,collapsed,-3.20233,0.9872
260730_114130,collapsed,-3.24233,0.9887
260730_114545,collapsed,-3.24233,0.9805
260730_115015,collapsed,-3.24233,0.9923
260730_115445,collapsed,-3.28233,0.9596
260730_115915,collapsed,-3.28233,0.9616
260730_120345,collapsed,-3.28233,0.9504
260730_120815,collapsed,-3.32233,0.9838
260730_121230,collapsed,-3.32233,0.9755
260730_121700,collapsed,-3.32233,0.9938
260730_122130,collapsed,-3.36233,0.9972
260730_122600,collapsed,-3.36233,0.9916
260730_123030,collapsed,-3.36233,0.9900
260730_123445,collapsed,-3.36233,0.9665
260730_123915,collapsed,-3.40233,0.9908
260730_124345,collapsed,-3.40233,0.9986
260730_124815,collapsed,-3.40233,0.9969
260730_125245,collapsed,-3.44233,0.9965
260730_125700,collapsed,-3.44233,0.9941
260730_130130,collapsed,-3.44233,0.9959
260730_130600,collapsed,-3.48233,0.9951
260730_131030,collapsed,-3.48233,0.9899
260730_131500,collapsed,-3.48233,0.9947
260730_131915,collapsed,-3.52233,0.9744
260730_132345,collapsed,-3.52233,0.9967
260730_132815,collapsed,-3.52233,0.9836
260730_133245,collapsed,-3.56233,0.9890
260730_133715,collapsed,-3.56233,0.9983
260730_134130,collapsed,-3.56233,0.9844
260730_134600,collapsed,-3.60233,0.9838
260730_135030,collapsed,-3.60233,0.9667
260730_135500,collapsed,-3.60233,0.9875
260730_135930,collapsed,-3.64233,0.9898
260730_140345,collapsed,-3.64233,0.9816
260730_140815,collapsed,-3.64233,0.9742
260730_141245,collapsed,-3.68233,0.9763
260730_141715,collapsed,-3.68233,0.9873
