scenario_id,part_index,trial_index,seed,true_snr_db,true_dt_s,true_freq_hz,message_text,cycle_utc
S2,5,0,356586922,0,0.2,1635,CQ Q1ABC FN42,2026-06-06T15:09:30Z
S2,5,1,1328624968,0,0.2,1635,CQ Q1ABC FN42,2026-06-06T15:09:45Z
S2,5,2,843406380,0,0.2,1635,CQ Q1ABC FN42,2026-06-06T15:10:00Z
S2,6,0,1939969654,0,0.2,1902,CQ Q1ABC FN42,2026-06-06T15:10:15Z
S2,6,1,441937503,0,0.2,1902,CQ Q1ABC FN42,2026-06-06T15:10:30Z
S2,6,2,781512667,0,0.2,1902,CQ Q1ABC FN42,2026-06-06T15:11:00Z
S2,7,0,1531496940,0,0.2,2169,CQ Q1ABC FN42,2026-06-06T15:11:15Z
S2,7,1,326924126,0,0.2,2169,CQ Q1ABC FN42,2026-06-06T15:11:30Z
S2,7,2,199391290,0,0.2,2169,CQ Q1ABC FN42,2026-06-06T15:11:45Z
S2,8,0,2105928740,0,0.2,2436,CQ Q1ABC FN42,2026-06-06T15:12:00Z
S2,8,1,2122849215,0,0.2,2436,CQ Q1ABC FN42,2026-06-06T15:12:30Z
S2,8,2,1792617518,0,0.2,2436,CQ Q1ABC FN42,2026-06-06T15:12:45Z
S2,9,0,1083440476,0,0.2,2700,CQ Q1ABC FN42,2026-06-06T15:13:00Z
S2,9,1,406326303,0,0.2,2700,CQ Q1ABC FN42,2026-06-06T15:13:15Z
S2,9,2,2144757372,0,0.2,2700,CQ Q1ABC FN42,2026-06-06T15:13:30Z
S3,0,0,1030001410,0,-2.0,1500,CQ Q1ABC FN42,2026-06-06T15:14:00Z
S3,0,1,59102629,0,-2.0,1500,CQ Q1ABC FN42,2026-06-06T15:14:15Z
S3,0,2,917633151,0,-2.0,1500,CQ Q1ABC FN42,2026-06-06T15:14:30Z
S3,1,0,1727488921,0,-1.5,1500,CQ Q1ABC FN42,2026-06-06T15:14:45Z
S3,1,1,1935099702,0,-1.5,1500,CQ Q1ABC FN42,2026-06-06T15:15:00Z
S3,1,2,1247340308,0,-1.5,1500,CQ Q1ABC FN42,2026-06-06T15:15:15Z
S3,2,0,2123842217,0,-1.0,1500,CQ Q1ABC FN42,2026-06-06T15:15:45Z
S3,2,1,741456992,0,-1.0,1500,CQ Q1ABC FN42,2026-06-06T15:16:00Z
S3,2,2,859851708,0,-1.0,1500,CQ Q1ABC FN42,2026-06-06T15:16:15Z
S3,3,0,1497291008,0,-0.5,1500,CQ Q1ABC FN42,2026-06-06T15:16:30Z
S3,3,1,2122590732,0,-0.5,1500,CQ Q1ABC FN42,2026-06-06T15:16:45Z
S3,3,2,1592902622,0,-0.5,1500,CQ Q1ABC FN42,2026-06-06T15:17:00Z
S3,4,0,1269981715,0,0.0,1500,CQ Q1ABC FN42,2026-06-06T15:17:30Z
S3,4,1,1736958637,0,0.0,1500,CQ Q1ABC FN42,2026-06-06T15:17:45Z
S3,4,2,204596110,0,0.0,1500,CQ Q1ABC FN42,2026-06-06T15:18:00Z
S3,5,0,1505505932,0,0.5,1500,CQ Q1ABC FN42,2026-06-06T15:18:15Z
S3,5,1,574426862,0,0.5,1500,CQ Q1ABC FN42,2026-06-06T15:18:30Z
S3,5,2,2081296688,0,0.5,1500,CQ Q1ABC FN42,2026-06-06T15:19:00Z
S3,6,0,1872296474,0,1.0,1500,CQ Q1ABC FN42,2026-06-06T15:19:15Z
S3,6,1,1187247710,0,1.0,1500,CQ Q1ABC FN42,2026-06-06T15:19:30Z
S3,6,2,1223745501,0,1.0,1500,CQ Q1ABC FN42,2026-06-06T15:19:45Z
S3,7,0,626911129,0,1.5,1500,CQ Q1ABC FN42,2026-06-06T15:20:00Z
S3,7,1,1969339727,0,1.5,1500,CQ Q1ABC FN42,2026-06-06T15:20:30Z
S3,7,2,115451501,0,1.5,1500,CQ Q1ABC FN42,2026-06-06T15:20:45Z
S3,8,0,1467476825,0,2.0,1500,CQ Q1ABC FN42,2026-06-06T15:21:00Z
S3,8,1,154111274,0,2.0,1500,CQ Q1ABC FN42,2026-06-06T15:21:15Z
S3,8,2,1142253482,0,2.0,1500,CQ Q1ABC FN42,2026-06-06T15:21:30Z
S4,0,0,1380025803,,0.0,,CQ Q1ABC FN42,2026-06-06T15:22:00Z
S4,0,1,1028796488,,0.0,,CQ Q1ABC FN42,2026-06-06T15:22:15Z
S4,0,2,1457782904,,0.0,,CQ Q1ABC FN42,2026-06-06T15:22:30Z
S4,1,0,1710814298,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03,2026-06-06T15:22:45Z
S4,1,1,1662193313,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03,2026-06-06T15:23:15Z
S4,1,2,196226190,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03,2026-06-06T15:23:30Z
S4,2,0,139150452,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,2026-06-06T15:24:00Z
S4,2,1,1124369827,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,2026-06-06T15:24:15Z
S4,2,2,820497043,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,2026-06-06T15:24:45Z
S4,3,0,11459573,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05; CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,2026-06-06T15:25:15Z
S4,3,1,1313953807,,0.0,,CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05; CQ Q1ABC FN42; Q4XYZ Q1ABC -07; Q3PQR Q1ABC RR73; Q1ABC Q4XYZ FN42; Q5DEF Q1ABC +03; Q1DEF Q1ABC DM79; Q1ABC Q5DEF 73; Q4XYZ Q3PQR -15; Q1JKL Q1ABC PM85; Q1ABC Q1DEF -05,2026-06-06T15:25:45Z
